id|drug_HOI_relationship|evidence_type|modality|evidence_source_code_id|statistic value|evidence_linkout|statistic_type
1|1308216-36617553|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
2|1308216-36617553|aers_ebgm||5|0.5059999824|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
3|1308216-36617553|aers_eb05||5|0.5059999824|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
4|1308216-35205025|aers_report_count||5|938|https://open.fda.gov/drug/event/reference/|COUNT
5|1308216-35205025|aers_ebgm||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
6|1308216-35205025|aers_eb05||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
7|1308216-35607082|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
8|1308216-35607082|aers_ebgm||5|0.248999998|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
9|1308216-35607082|aers_eb05||5|0.248999998|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
10|1308216-36110649|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
11|1308216-36110649|aers_ebgm||5|0.2579999864|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
12|1308216-36110649|aers_eb05||5|0.2579999864|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
13|1308216-35708603|aers_report_count||5|141|https://open.fda.gov/drug/event/reference/|COUNT
14|1308216-35708603|aers_ebgm||5|2.2200000286|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
15|1308216-35708603|aers_eb05||5|2.2200000286|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
16|1308216-35406368|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
17|1308216-35406368|aers_ebgm||5|0.5429999828|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
18|1308216-35406368|aers_eb05||5|0.5429999828|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
19|1308216-36919212|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
20|1308216-36919212|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
21|1308216-36919212|aers_eb05||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
22|1308216-35104405|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
23|1308216-35104405|aers_ebgm||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
24|1308216-35104405|aers_eb05||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
25|1308216-36516872|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
26|1308216-36516872|aers_ebgm||5|0.3770000041|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
27|1308216-36516872|aers_eb05||5|0.3770000041|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
28|1308216-35809130|aers_report_count||5|53|https://open.fda.gov/drug/event/reference/|COUNT
29|1308216-35809130|aers_ebgm||5|0.4320000112|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
30|1308216-35809130|aers_eb05||5|0.4320000112|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
31|1308216-35707732|aers_report_count||5|8|https://open.fda.gov/drug/event/reference/|COUNT
32|1308216-35707732|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
33|1308216-35707732|aers_eb05||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
34|1308216-36110700|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
35|1308216-36110700|aers_ebgm||5|1.0800000429|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
36|1308216-36110700|aers_eb05||5|1.0800000429|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
37|1308216-36313476|aers_report_count||5|16|https://open.fda.gov/drug/event/reference/|COUNT
38|1308216-36313476|aers_ebgm||5|0.2029999942|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
39|1308216-36313476|aers_eb05||5|0.2029999942|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
40|1308216-36818660|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
41|1308216-36818660|aers_ebgm||5|3.2999999523|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
42|1308216-36818660|aers_eb05||5|3.2999999523|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
43|1308216-37320098|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
44|1308216-37320098|aers_ebgm||5|0.72299999|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
45|1308216-37320098|aers_eb05||5|0.72299999|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
46|1308216-35205384|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
47|1308216-35205384|aers_ebgm||5|1.0399999619|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
48|1308216-35205384|aers_eb05||5|1.0399999619|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
49|1308216-35204982|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
50|1308216-35204982|aers_ebgm||5|0.9049999714|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
51|1308216-35204982|aers_eb05||5|0.9049999714|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
52|1308216-35707651|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
53|1308216-35707651|aers_ebgm||5|0.2160000056|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
54|1308216-35707651|aers_eb05||5|0.2160000056|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
55|1308216-35205189|aers_report_count||5|199|https://open.fda.gov/drug/event/reference/|COUNT
56|1308216-35205189|aers_ebgm||5|0.5289999843|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
57|1308216-35205189|aers_eb05||5|0.5289999843|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
58|1308216-35708128|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
59|1308216-35708128|aers_ebgm||5|0.5929999948|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
60|1308216-35708128|aers_eb05||5|0.5929999948|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
61|1308216-36110253|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
62|1308216-36110253|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
63|1308216-36110253|aers_eb05||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
64|1308216-36416593|aers_report_count||5|1066|https://open.fda.gov/drug/event/reference/|COUNT
65|1308216-36416593|aers_ebgm||5|13.5|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
66|1308216-36416593|aers_eb05||5|13.5|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
67|1308216-35104161|aers_report_count||5|20|https://open.fda.gov/drug/event/reference/|COUNT
68|1308216-35104161|aers_ebgm||5|0.5230000019|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
69|1308216-35104161|aers_eb05||5|0.5230000019|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
70|1308216-35506542|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
71|1308216-35506542|aers_ebgm||5|0.6610000134|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
72|1308216-35506542|aers_eb05||5|0.6610000134|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
73|1308216-35606964|aers_report_count||5|28|https://open.fda.gov/drug/event/reference/|COUNT
74|1308216-35606964|aers_ebgm||5|0.3950000107|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
75|1308216-35606964|aers_eb05||5|0.3950000107|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
76|1308216-35708567|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
77|1308216-35708567|aers_ebgm||5|0.8090000153|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
78|1308216-35708567|aers_eb05||5|0.8090000153|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
79|1308216-35708044|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
80|1308216-35708044|aers_ebgm||5|0.3560000062|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
81|1308216-35708044|aers_eb05||5|0.3560000062|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
82|1308216-36110837|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
83|1308216-36110837|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
84|1308216-36110837|aers_eb05||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
85|1308216-35104113|aers_report_count||5|35|https://open.fda.gov/drug/event/reference/|COUNT
86|1308216-35104113|aers_ebgm||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
87|1308216-35104113|aers_eb05||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
88|1308216-35708083|aers_report_count||5|21|https://open.fda.gov/drug/event/reference/|COUNT
89|1308216-35708083|aers_ebgm||5|0.5809999704|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
90|1308216-35708083|aers_eb05||5|0.5809999704|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
91|1308216-35708176|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
92|1308216-35708176|aers_ebgm||5|0.4070000052|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
93|1308216-35708176|aers_eb05||5|0.4070000052|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
